error_id,user_id,account_id,error_message,timestamp,severity
1,1,1,Invalid trade date for YPF8,2025-03-24 21:32:36,HIGH
2,1,1,Missing benchmark data for portfolio ACC-29925477,2025-03-12 03:51:36,MEDIUM
3,1,1,Data feed interruption for ULN6 pricing,2025-03-30 09:38:36,HIGH
4,1,1,Insufficient liquidity for SOB7,2025-03-14 23:18:36,MEDIUM
5,1,1,Market value not found for security SEY3,2025-03-14 10:01:36,MEDIUM
6,1,1,Trade settlement failed for KKW3,2025-03-30 21:37:36,LOW
7,1,1,Missing benchmark data for portfolio ACC-29925477,2025-03-21 06:30:36,LOW
8,1,2,Data feed interruption for QUA7 pricing,2025-04-03 00:22:36,LOW
9,1,2,Market value not found for security BAU7,2025-04-06 21:12:36,LOW
10,1,2,Compliance breach detected for STT8,2025-03-24 22:07:36,HIGH
11,1,2,Trade settlement failed for KTP1,2025-04-01 13:55:36,MEDIUM
12,1,3,Missing benchmark data for portfolio ACC-37880267,2025-03-12 08:12:36,MEDIUM
13,1,3,Data feed interruption for YLN8 pricing,2025-03-24 07:29:36,LOW
14,1,3,Data feed interruption for OJQ1 pricing,2025-03-29 14:56:36,HIGH
15,1,4,Position reconciliation failed for account ACC-49027447,2025-03-17 00:18:36,LOW
16,1,4,Trade settlement failed for HDO1,2025-03-21 14:54:36,HIGH
17,1,4,Commentary not uploaded for account ACC-49027447,2025-03-21 10:59:36,MEDIUM
18,1,4,Risk limits exceeded for account ACC-49027447,2025-04-04 21:27:36,LOW
19,1,4,Market value not found for security BNP1,2025-04-04 16:22:36,HIGH
20,1,4,Insufficient liquidity for UTB8,2025-04-09 16:10:36,LOW
21,1,4,Missing price data for FRV6,2025-04-02 21:49:36,HIGH
22,2,5,Position reconciliation failed for account ACC-97894658,2025-03-12 12:50:36,LOW
23,2,5,Data feed interruption for RPN1 pricing,2025-04-10 06:02:36,MEDIUM
24,2,5,Missing corporate action data for TLK0,2025-03-17 13:10:36,MEDIUM
25,2,5,Invalid trade date for HHQ0,2025-03-19 10:20:36,MEDIUM
26,2,5,Trade settlement failed for WXS3,2025-03-27 09:56:36,HIGH
27,2,6,Failed to generate P&L report for ACC-36797271,2025-04-11 08:37:36,HIGH
28,2,6,Risk limits exceeded for account ACC-36797271,2025-03-16 14:16:36,LOW
29,2,6,Market value not found for security HPJ7,2025-03-24 09:37:36,LOW
30,2,6,Insufficient liquidity for EZE8,2025-04-07 00:22:36,MEDIUM
31,2,6,Failed to generate P&L report for ACC-36797271,2025-03-24 22:28:36,LOW
32,2,6,Missing benchmark data for portfolio ACC-36797271,2025-03-19 23:54:36,MEDIUM
33,2,6,Trade settlement failed for CSC6,2025-03-15 10:22:36,MEDIUM
34,2,6,Missing corporate action data for BVM0,2025-03-14 10:29:36,MEDIUM
35,2,7,Missing benchmark data for portfolio ACC-4123449,2025-03-11 20:16:36,LOW
36,2,7,Commentary not uploaded for account ACC-4123449,2025-03-17 07:36:36,LOW
37,2,7,Missing corporate action data for YFS0,2025-03-24 23:49:36,HIGH
38,2,7,Failed to generate P&L report for ACC-4123449,2025-03-30 00:58:36,HIGH
39,2,7,Missing corporate action data for ARF0,2025-03-28 10:36:36,MEDIUM
40,2,7,NAV calculation error for account ACC-4123449,2025-03-27 01:47:36,LOW
41,2,7,Invalid trade date for THA5,2025-04-01 14:38:36,HIGH
42,2,7,Missing price data for HZH5,2025-03-23 13:31:36,MEDIUM
43,2,7,NAV calculation error for account ACC-4123449,2025-04-05 20:43:36,LOW
44,2,7,Commentary not uploaded for account ACC-4123449,2025-03-24 03:16:36,HIGH
45,2,8,Commentary not uploaded for account ACC-33219795,2025-03-27 21:54:36,MEDIUM
46,2,8,Trade settlement failed for JKG7,2025-03-16 08:50:36,HIGH
47,2,8,Missing benchmark data for portfolio ACC-33219795,2025-03-29 20:12:36,LOW
48,2,8,Insufficient liquidity for OMK6,2025-03-22 16:10:36,LOW
49,3,9,Invalid trade date for YEL4,2025-03-25 21:47:36,HIGH
50,3,9,Margin call warning for account ACC-9264426,2025-04-10 01:26:36,HIGH
51,3,9,Data feed interruption for YFY2 pricing,2025-04-09 02:04:36,HIGH
52,3,10,Compliance breach detected for WZA7,2025-04-10 19:55:36,MEDIUM
53,3,10,Data feed interruption for NSD5 pricing,2025-03-23 06:44:36,MEDIUM
54,3,10,Compliance breach detected for OXX8,2025-03-12 20:00:36,HIGH
55,3,10,Margin call warning for account ACC-9242040,2025-03-15 01:55:36,HIGH
56,3,10,Missing price data for HKE4,2025-03-20 01:33:36,LOW
57,3,10,Invalid trade date for NZQ9,2025-03-29 03:30:36,HIGH
58,3,10,Compliance breach detected for CWV6,2025-03-16 16:30:36,HIGH
59,4,11,Failed to generate P&L report for ACC-98679868,2025-03-30 04:03:36,MEDIUM
60,4,11,Missing corporate action data for GSS5,2025-04-11 12:29:36,HIGH
61,4,11,Commentary not uploaded for account ACC-98679868,2025-04-05 09:30:36,MEDIUM
62,4,11,Trade settlement failed for PXX7,2025-03-23 06:40:36,MEDIUM
63,4,11,Trade settlement failed for GNE8,2025-03-24 11:23:36,HIGH
64,4,11,Trade settlement failed for DUT1,2025-03-15 22:35:36,LOW
65,4,12,Missing corporate action data for ASN3,2025-03-21 22:54:36,LOW
66,4,12,Failed to generate P&L report for ACC-83454399,2025-03-13 00:54:36,HIGH
67,4,12,Missing price data for TJL4,2025-04-09 15:35:36,MEDIUM
68,4,12,Compliance breach detected for EKZ9,2025-04-06 10:25:36,MEDIUM
69,4,12,Market value not found for security FCB7,2025-03-18 07:12:36,LOW
70,4,12,Compliance breach detected for QLQ8,2025-04-05 00:16:36,MEDIUM
71,4,12,Missing benchmark data for portfolio ACC-83454399,2025-04-10 00:11:36,MEDIUM
72,4,12,Insufficient liquidity for XJY1,2025-04-04 00:17:36,LOW
73,5,13,Margin call warning for account ACC-22238489,2025-03-17 13:56:36,HIGH
74,5,13,NAV calculation error for account ACC-22238489,2025-04-02 03:43:36,MEDIUM
75,5,14,NAV calculation error for account ACC-13309444,2025-03-24 21:58:36,LOW
76,5,15,Compliance breach detected for HOA6,2025-04-07 08:42:36,LOW
77,5,15,Compliance breach detected for KKS8,2025-03-26 15:11:36,LOW
78,5,15,Risk limits exceeded for account ACC-35339855,2025-03-24 14:32:36,MEDIUM
79,5,15,Missing benchmark data for portfolio ACC-35339855,2025-03-23 09:04:36,LOW
80,5,15,Trade settlement failed for LAI1,2025-03-12 02:34:36,MEDIUM
81,6,16,Commentary not uploaded for account ACC-29187063,2025-04-04 11:28:36,LOW
82,6,16,Risk limits exceeded for account ACC-29187063,2025-03-22 04:59:36,LOW
83,6,16,Risk limits exceeded for account ACC-29187063,2025-03-13 13:54:36,HIGH
84,6,16,Trade settlement failed for FRL8,2025-04-01 06:00:36,MEDIUM
85,6,16,Commentary not uploaded for account ACC-29187063,2025-04-11 13:04:36,MEDIUM
86,6,17,Market value not found for security ZTC5,2025-03-15 12:51:36,MEDIUM
87,6,17,Missing price data for YYL1,2025-03-31 23:18:36,HIGH
88,6,17,Compliance breach detected for HYB7,2025-03-30 09:59:36,LOW
89,6,17,Margin call warning for account ACC-29292042,2025-03-27 12:31:36,HIGH
90,6,17,Trade settlement failed for PDN0,2025-03-13 12:14:36,HIGH
91,6,17,Commentary not uploaded for account ACC-29292042,2025-03-27 19:43:36,MEDIUM
92,7,18,Position reconciliation failed for account ACC-70388189,2025-03-20 07:35:36,LOW
93,7,18,Position reconciliation failed for account ACC-70388189,2025-03-16 03:26:36,MEDIUM
94,7,18,Failed to generate P&L report for ACC-70388189,2025-03-15 18:38:36,MEDIUM
95,7,18,Missing corporate action data for CZA0,2025-03-28 05:02:36,HIGH
96,7,18,NAV calculation error for account ACC-70388189,2025-04-05 12:46:36,LOW
97,7,18,Missing price data for KOM7,2025-03-26 12:53:36,HIGH
98,7,18,Failed to generate P&L report for ACC-70388189,2025-03-29 03:35:36,HIGH
99,7,18,Market value not found for security FTV0,2025-04-07 19:06:36,HIGH
100,8,19,Trade settlement failed for DHW1,2025-03-15 08:44:36,LOW
101,8,19,NAV calculation error for account ACC-90618398,2025-03-30 10:26:36,HIGH
102,8,19,Risk limits exceeded for account ACC-90618398,2025-03-17 01:00:36,MEDIUM
103,8,19,Risk limits exceeded for account ACC-90618398,2025-03-28 10:00:36,HIGH
104,8,19,Position reconciliation failed for account ACC-90618398,2025-03-21 09:02:36,HIGH
105,8,20,Failed to generate P&L report for ACC-2368230,2025-03-15 02:36:36,LOW
106,8,20,Data feed interruption for CAG6 pricing,2025-03-12 06:34:36,MEDIUM
107,8,21,Insufficient liquidity for PZI6,2025-03-28 05:31:36,LOW
108,8,21,Data feed interruption for NSW9 pricing,2025-03-16 22:41:36,LOW
109,8,21,Trade settlement failed for XKZ6,2025-04-03 12:29:36,LOW
110,8,21,Margin call warning for account ACC-22699167,2025-03-16 21:16:36,HIGH
111,8,21,Insufficient liquidity for SLG2,2025-03-26 17:10:36,MEDIUM
112,8,21,Margin call warning for account ACC-22699167,2025-03-13 09:56:36,HIGH
113,8,21,Missing corporate action data for FJS5,2025-04-08 18:40:36,LOW
114,8,22,Risk limits exceeded for account ACC-88082001,2025-03-25 10:53:36,MEDIUM
115,8,22,Data feed interruption for ETU2 pricing,2025-03-20 17:48:36,LOW
116,8,22,Risk limits exceeded for account ACC-88082001,2025-03-15 12:57:36,HIGH
117,8,22,Insufficient liquidity for SUF1,2025-04-08 15:44:36,LOW
118,8,22,Margin call warning for account ACC-88082001,2025-03-21 05:53:36,LOW
119,8,22,Compliance breach detected for SNA3,2025-04-06 20:00:36,LOW
120,8,22,Margin call warning for account ACC-88082001,2025-03-15 16:42:36,MEDIUM
121,8,22,Position reconciliation failed for account ACC-88082001,2025-03-26 03:49:36,MEDIUM
122,8,22,Margin call warning for account ACC-88082001,2025-03-19 15:03:36,HIGH
123,8,23,Trade settlement failed for FLW2,2025-03-24 04:55:36,LOW
124,8,23,Compliance breach detected for YRB3,2025-03-13 12:05:36,LOW
125,8,23,Market value not found for security QTR3,2025-03-22 15:58:36,LOW
126,9,24,Missing benchmark data for portfolio ACC-60184787,2025-03-16 06:27:36,LOW
127,9,24,NAV calculation error for account ACC-60184787,2025-03-29 04:48:36,MEDIUM
128,9,24,Invalid trade date for DJS9,2025-04-01 01:31:36,MEDIUM
129,9,24,Insufficient liquidity for TOZ9,2025-04-01 15:42:36,MEDIUM
130,9,24,Missing price data for RYA2,2025-04-04 03:51:36,LOW
131,9,25,Trade settlement failed for VVA1,2025-03-19 16:45:36,LOW
132,9,25,Trade settlement failed for QUU6,2025-04-03 13:48:36,HIGH
133,9,25,Data feed interruption for JCI5 pricing,2025-03-28 04:41:36,MEDIUM
134,9,25,Position reconciliation failed for account ACC-67862056,2025-04-09 00:28:36,HIGH
135,9,25,NAV calculation error for account ACC-67862056,2025-03-13 22:52:36,LOW
136,9,25,Risk limits exceeded for account ACC-67862056,2025-03-27 09:51:36,MEDIUM
137,10,26,Margin call warning for account ACC-37056098,2025-04-06 20:52:36,MEDIUM
138,10,26,Compliance breach detected for UQI9,2025-03-22 11:01:36,LOW
139,10,26,Position reconciliation failed for account ACC-37056098,2025-03-12 00:43:36,LOW
140,10,26,Market value not found for security GGH3,2025-04-05 01:52:36,MEDIUM
141,10,26,Missing corporate action data for EDH8,2025-03-25 17:10:36,LOW
142,11,27,Invalid trade date for PBG0,2025-03-25 08:26:36,MEDIUM
143,11,27,Trade settlement failed for HGW2,2025-03-15 08:40:36,MEDIUM
144,11,27,Invalid trade date for MOM2,2025-04-05 15:06:36,HIGH
145,11,27,NAV calculation error for account ACC-73117313,2025-03-21 18:37:36,LOW
146,11,27,Missing corporate action data for BYS9,2025-03-19 13:14:36,MEDIUM
147,11,27,Missing corporate action data for RQO7,2025-04-04 19:00:36,HIGH
148,11,27,Trade settlement failed for KRJ8,2025-03-25 07:48:36,HIGH
149,11,27,Risk limits exceeded for account ACC-73117313,2025-03-28 16:06:36,LOW
150,11,27,Margin call warning for account ACC-73117313,2025-03-23 06:38:36,LOW
